id,target,label
315,1430,2
316,11469,3
317,5397,3
318,253,0
319,2828,2
320,951,1
321,6685,3
322,291,0
323,6503,3
324,322,1
325,70,0
326,11718,3
327,139,0
328,2340,2
329,30327,4
330,5818,3
331,206753,4
332,11718,3
333,2555,2
334,121,0
335,721,1
336,2571,2
337,995,1
338,448,1
339,303,1
340,47293,4
341,607,1
342,121,0
343,4514,2
344,592,1
345,453,1
346,178682,4
347,618,1
348,283,0
349,7864,3
350,176,0
351,423,1
352,373,1
353,14329,3
354,9122,3
355,2251,2
356,834,1
357,13302,3
358,51748,4
359,59,0
360,1299,2
361,20868,4
362,10672,3
363,265,0
364,140,0
365,992,1
366,1091,2
367,426,1
368,2848,2
369,159,0
370,148,0
371,356,1
372,602,1
373,970,1
374,1377,2
375,775,1
376,992,1
377,2828,2
378,22,0
379,340,1
380,992,1
381,607,1
382,1537,2
383,56270,4
384,607,1
385,6520,3
386,296235,4
387,628,1
388,40350,4
389,2146,2
390,11469,3
391,474,1
392,6029,3
393,11353,3
394,16288,4
395,11465,3
396,882,1
397,22971,4
398,14480,3
399,778,1
400,453,1
401,15251,4
402,995,1
403,23383,4
404,11476,3
405,88,0
406,719,1
407,39,0
408,7714,3
409,33,0
410,439,1
411,329354,4
412,1384,2
413,1551,2
414,180,0
415,37311,4
416,80,0
417,1054,2
418,439,1
419,1069,2
420,8695,3
421,120484,4
422,866,1
423,9139,3
424,747,1
425,12481,3
426,464,1
427,256558,4
428,180,0
429,242,0
430,2426,2
431,377,1
432,44,0
433,29694,4
434,775,1
435,4294,2
436,1712,2
437,2551,2
438,2003,2
439,809,1
440,618,1
441,11495,3
442,4407,2
443,291,0
444,336,1
445,33,0
446,4220,2
447,329354,4
448,15764,4
449,49,0
450,2426,2
451,607,1
452,1054,2
453,13691,3
454,265,0
455,207,0
456,327,1
457,3863,2
458,11465,3
459,64,0
460,184,0
461,464,1
462,98265,4
463,1054,2
464,11465,3
465,1754,2
466,4728,2
467,39,0
468,1780,2
469,34,0
470,2330,2
471,45734,4
472,171,0
473,33,0
474,133,0
475,2712,2
476,85,0
477,439,1
478,168,0
479,2886,2
480,20656,4
481,698,1
482,265,0
483,80,0
484,11495,3
485,174,0
486,33,0
487,9730,3
488,811,1
489,698,1
490,29,0
491,298200,4
492,453,1
493,1054,2
494,595,1
495,19279,4
496,2948,2
497,1641,2
498,2395,2
499,14480,3
500,2003,2
501,121,0
502,14480,3
503,747,1
504,641,1
505,919,1
506,78503,4
507,16125,4
508,607,1
509,1082,2
510,10051,3
511,2709,2
512,12767,3
513,607,1
514,15763,4
515,1085,2
516,16086,4
517,3863,2
518,1712,2
519,50,0
520,1430,2
521,1054,2
522,369,1
523,1054,2
524,11718,3
525,121,0
526,97499,4
527,1996,2
528,775,1
529,8568,3
530,439,1
531,60667,4
532,121,0
533,42374,4
534,7080,3
535,27,0
536,1706,2
537,249,0
538,13922,3
539,2340,2
540,6269,3
541,17497,4
542,33,0
543,6480,3
544,140,0
545,14480,3
546,48,0
547,12486,3
548,618,1
549,7889,3
550,11469,3
551,3993,2
552,19045,4
553,1054,2
554,14480,3
555,31446,4
556,245091,4
557,11469,3
558,618,1
559,34,0
560,992,1
561,2952,2
562,384,1
563,1054,2
564,2003,2
565,4437,2
566,14480,3
567,8567,3
568,17229,4
569,113157,4
570,33,0
571,595,1
572,543,1
573,1054,2
574,7599,3
575,154527,4
576,5669,3
577,2551,2
578,20868,4
579,78503,4
580,274,0
581,1494,2
582,2678,2
583,121,0
584,5307,3
585,14714,3
586,439,1
587,749,1
588,464,1
589,56270,4
590,1054,2
591,45,0
592,4728,2
593,206753,4
594,14480,3
595,399,1
596,672,1
597,2003,2
598,618,1
599,121,0
600,699,1
601,5985,3
602,64492,4
603,31575,4
604,492,1
605,13057,3
606,2252,2
607,464,1
608,2237,2
609,64492,4
610,212549,4
611,33,0
612,174,0
613,172,0
614,69,0
615,1461,2
616,5463,3
617,439,1
618,721,1
619,296235,4
620,518,1
621,47019,4
622,27,0
623,524,1
624,2606,2
625,439,1
626,32,0
627,121,0
628,131,0
629,15764,4
630,38168,4
631,844,1
632,48,0
633,85,0
634,1780,2
635,2606,2
636,16288,4
637,2525,2
638,452,1
639,2003,2
640,550,1
641,2716,2
642,992,1
643,1789,2
644,433,1
645,31525,4
646,15196,4
647,5312,3
648,11718,3
649,152,0
650,1751,2
651,11465,3
652,24234,4
653,194,0
654,433,1
655,2222,2
656,7864,3
657,37311,4
658,267,0
659,33,0
660,5501,3
661,2678,2
662,537,1
663,11465,3
664,6029,3
665,3515,2
666,13993,3
667,121,0
668,389,1
669,16721,4
670,618,1
671,7539,3
672,618,1
673,14480,3
674,69,0
675,3173,2
676,1545,2
677,934,1
678,37,0
679,597,1
680,433,1
681,14480,3
682,14600,3
683,26,0
684,119,0
685,14480,3
686,33,0
687,42,0
688,121,0
689,41,0
690,11718,3
691,11469,3
692,15188,4
693,369,1
694,11495,3
695,16125,4
696,14480,3
697,622,1
698,992,1
699,234,0
700,31,0
701,6685,3
702,43,0
703,9742,3
704,1054,2
705,992,1
706,2237,2
707,31575,4
708,3993,2
709,12162,3
710,1198,2
711,68,0
712,1054,2
713,3173,2
714,121,0
715,14480,3
716,97499,4
717,203,0
718,439,1
719,184,0
720,28780,4
721,329354,4
722,607,1
723,6503,3
724,2551,2
725,377,1
726,4967,2
727,3138,2
728,5660,3
729,16125,4
730,15196,4
731,2717,2
732,121,0
733,98265,4
734,249,0
735,13321,3
736,1603,2
737,445,1
738,43,0
739,595,1
740,439,1
741,39,0
742,3835,2
743,433,1
744,324,1
745,373,1
746,2953,2
747,20868,4
748,8695,3
749,15196,4
750,1188,2
751,241,0
752,1054,2
753,167955,4
754,1603,2
755,755,1
756,747,1
757,809,1
758,4640,2
759,3223,2
760,9139,3
761,45645,4
762,439,1
763,68548,4
764,4967,2
765,439,1
766,2132,2
767,2430,2
768,133,0
769,95909,4
770,11465,3
771,1096,2
772,453,1
773,1054,2
774,13384,3
775,1800,2
776,185158,4
777,154527,4
778,15763,4
779,4553,2
780,1712,2
781,78503,4
782,28722,4
783,3316,2
784,249,0
785,607,1
786,11795,3
787,8568,3
788,830,1
789,121,0
790,33,0
791,4028,2
792,747,1
793,121,0
794,12767,3
795,8567,3
796,20868,4
797,1230,2
798,2306,2
799,3173,2
800,97499,4
801,1054,2
802,14480,3
803,747,1
804,615,1
805,14480,3
806,121,0
807,7599,3
808,167,0
809,30,0
810,1812,2
811,62508,4
812,14480,3
813,56,0
814,6030,3
815,377,1
816,74,0
817,13656,3
818,62508,4
819,747,1
820,2756,2
821,383,1
822,29053,4
823,121,0
824,14480,3
825,607,1
826,51,0
827,9484,3
828,11718,3
829,1029,2
830,121,0
831,992,1
832,4147,2
833,340,1
834,2368,2
835,2848,2
836,3210,2
837,4294,2
838,19069,4
839,15764,4
840,433,1
841,179,0
842,242,0
843,121,0
844,433,1
845,6029,3
846,464,1
847,16125,4
848,166,0
849,2368,2
850,68,0
851,33,0
852,1508,2
853,174,0
854,8568,3
855,71,0
856,1012,2
857,154527,4
858,1198,2
859,607,1
860,22898,4
861,2051,2
862,384,1
863,11469,3
864,33,0
865,31525,4
866,37,0
867,41746,4
868,3863,2
869,1812,2
870,11768,3
871,14480,3
872,778,1
873,78503,4
874,33,0
875,439,1
876,140,0
877,439,1
878,22898,4
879,2578,2
880,1241,2
881,3265,2
882,295,0
883,3142,2
884,14480,3
885,6775,3
886,7821,3
887,10768,3
888,691,1
889,6029,3
890,20551,4
891,5855,3
892,934,1
893,3454,2
894,811,1
895,4718,2
896,42813,4
897,116,0
898,2234,2
899,651,1
900,21426,4
901,91,0
902,11465,3
903,2395,2
904,16288,4
905,2551,2
906,43,0
907,618,1
908,190,0
909,10051,3
910,57,0
911,14480,3
912,2003,2
913,31,0
914,3049,2
915,13497,3
916,3521,2
917,15,0
918,3173,2
919,10672,3
920,11469,3
921,265,0
922,920,1
923,354,1
924,6108,3
925,778,1
926,276,0
927,296235,4
928,25701,4
929,11465,3
930,4724,2
931,2076,2
932,10768,3
933,1988,2
934,172,0
935,23509,4
936,19279,4
937,13922,3
938,13321,3
939,88,0
940,6029,3
941,453,1
942,15196,4
943,34,0
944,31390,4
945,1528,2
946,52727,4
947,79,0
948,9239,3
949,2741,2
950,453,1
951,3800,2
952,28722,4
953,439,1
954,57,0
955,36745,4
956,46961,4
957,1712,2
958,5818,3
959,70,0
960,12576,3
961,439,1
962,960,1
963,439,1
964,132,0
965,323,1
966,78503,4
967,31,0
968,14480,3
969,778,1
970,66,0
971,36745,4
972,445,1
973,45734,4
974,79,0
975,9516,3
976,11469,3
977,56,0
978,11495,3
979,1772,2
980,15764,4
981,11718,3
982,3173,2
983,439,1
984,13922,3
985,7539,3
986,2003,2
987,1812,2
988,1033,2
989,453,1
990,276,0
991,35,0
992,13827,3
993,13221,3
994,146,0
995,10051,3
996,5818,3
997,1054,2
998,2003,2
999,28,0
1000,245091,4
1001,11718,3
1002,11469,3
1003,433,1
1004,1733,2
1005,9164,3
1006,1054,2
1007,16125,4
1008,39,0
1009,1461,2
1010,4718,2
1011,5669,3
1012,283,0
1013,148,0
1014,585,1
1015,121,0
1016,6994,3
1017,13691,3
1018,9122,3
1019,2237,2
1020,1659,2
1021,82,0
1022,14480,3
1023,835,1
1024,98265,4
1025,6029,3
1026,121,0
1027,8535,3
1028,1054,2
1029,8568,3
1030,2678,2
1031,85983,4
1032,42,0
1033,4104,2
1034,4360,2
1035,15078,4
1036,33,0
1037,9742,3
1038,69062,4
1039,4544,2
1040,10672,3
1041,2003,2
1042,1054,2
1043,775,1
1044,38,0
1045,1378,2
1046,38168,4
1047,69062,4
1048,14480,3
1049,7080,3
1050,121,0
1051,33,0
1052,1641,2
1053,22971,4
1054,444,1
1055,992,1
1056,11768,3
1057,439,1
1058,607,1
1059,66,0
1060,3173,2
1061,231,0
1062,72,0
1063,164,0
1064,22971,4
1065,6029,3
1066,2918,2
1067,69062,4
1068,579,1
1069,33,0
1070,1198,2
1071,69062,4
1072,485,1
1073,4853,2
1074,509,1
1075,139,0
1076,14480,3
1077,56,0
1078,17229,4
1079,6029,3
1080,6029,3
1081,215,0
1082,14480,3
1083,6685,3
1084,18766,4
1085,1538,2
1086,29109,4
1087,3521,2
1088,121,0
1089,9122,3
1090,3838,2
1091,52727,4
1092,321881,4
1093,439,1
1094,10199,3
1095,904,1
1096,56,0
1097,30327,4
1098,446,1
1099,4731,2
1100,1054,2
1101,464,1
1102,995,1
1103,641,1
1104,651,1
1105,336,1
1106,9312,3
1107,11718,3
1108,607,1
1109,1641,2
1110,121,0
1111,4015,2
1112,385,1
1113,2513,2
1114,18488,4
1115,48,0
1116,65323,4
1117,6425,3
1118,4350,2
1119,14480,3
1120,12486,3
1121,276,0
1122,5146,3
1123,249,0
1124,5451,3
1125,377,1
1126,69062,4
1127,360,1
1128,439,1
1129,607,1
1130,223,0
1131,22971,4
1132,38,0
1133,3863,2
1134,13922,3
1135,249,0
1136,239,0
1137,309,1
1138,996,1
1139,2003,2
1140,212549,4
1141,3552,2
1142,140,0
1143,2848,2
1144,1661,2
1145,1710,2
1146,11718,3
1147,66,0
1148,14480,3
1149,3188,2
1150,10051,3
1151,19439,4
1152,9023,3
1153,8568,3
1154,49,0
1155,618,1
1156,1907,2
1157,439,1
1158,15251,4
1159,11469,3
1160,69062,4
1161,951,1
1162,5546,3
1163,1464,2
1164,21505,4
1165,830,1
1166,904,1
1167,30327,4
1168,7622,3
1169,16086,4
1170,784,1
1171,698,1
1172,3173,2
1173,294,0
1174,5818,3
1175,645,1
1176,492,1
1177,2294,2
1178,11768,3
1179,2051,2
1180,15764,4
1181,59,0
1182,14480,3
1183,12481,3
1184,5522,3
1185,13980,3
1186,341,1
1187,15269,4
1188,29109,4
1189,13321,3
1190,992,1
1191,52727,4
1192,50666,4
1193,607,1
1194,105304,4
1195,15764,4
1196,1199,2
1197,778,1
1198,369,1
1199,29053,4
1200,486,1
1201,47293,4
1202,241,0
1203,36268,4
1204,3569,2
1205,234304,4
1206,28722,4
1207,4437,2
1208,1054,2
1209,175,0
1210,3863,2
1211,11469,3
1212,4147,2
1213,17882,4
1214,6503,3
1215,163,0
1216,69062,4
1217,14480,3
1218,82,0
1219,139,0
1220,9122,3
1221,15500,4
1222,3305,2
1223,42813,4
1224,276,0
1225,1712,2
1226,276,0
1227,5603,3
1228,14480,3
1229,11465,3
1230,7165,3
1231,63,0
1232,960,1
1233,607,1
1234,62,0
1235,385,1
1236,433,1
1237,749,1
1238,2948,2
1239,747,1
1240,685,1
1241,12767,3
1242,9742,3
1243,1054,2
1244,31525,4
1245,11210,3
1246,607,1
1247,4986,2
1248,123,0
1249,8568,3
1250,6029,3
1251,1033,2
1252,44,0
1253,37706,4
1254,622,1
1255,166,0
1256,329354,4
1257,6882,3
1258,439,1
1259,123,0
1260,1054,2
1261,453,1
1262,1144,2
1263,3051,2
1264,14480,3
1265,5463,3
1266,238,0
1267,14480,3
1268,315,1
1269,12481,3
1270,175,0
1271,775,1
1272,17229,4
1273,1012,2
1274,139,0
1275,4342,2
1276,7165,3
1277,2149,2
1278,20868,4
1279,14480,3
1280,6965,3
1281,4350,2
1282,7080,3
1283,464,1
1284,1641,2
1285,2473,2
1286,275,0
1287,607,1
1288,245091,4
1289,672,1
1290,10611,3
1291,3800,2
1292,607,1
1293,31418,4
1294,7300,3
1295,867,1
1296,7599,3
1297,2366,2
1298,97499,4
1299,2753,2
1300,2952,2
1301,485,1
1302,179,0
1303,2222,2
1304,2974,2
1305,385,1
1306,2555,2
1307,131,0
1308,20264,4
1309,166,0
1310,243,0
1311,618,1
1312,279,0
1313,44,0
1314,607,1
1315,30,0
1316,439,1
1317,3863,2
1318,445,1
1319,439,1
1320,354,1
1321,248,0
1322,20868,4
1323,33,0
1324,483,1
1325,14480,3
1326,1222,2
1327,18657,4
1328,607,1
1329,119,0
1330,1188,2
1331,1780,2
1332,36268,4
1333,882,1
1334,16721,4
1335,747,1
1336,14480,3
1337,7080,3
1338,28722,4
1339,15763,4
1340,6703,3
1341,11745,3
1342,305,1
1343,42813,4
1344,2285,2
1345,56,0
1346,48,0
1347,1324,2
1348,11718,3
1349,811,1
1350,39103,4
1351,3090,2
1352,121,0
1353,1054,2
1354,28282,4
1355,859,1
1356,3188,2
1357,14329,3
1358,809,1
1359,99,0
1360,6685,3
1361,11465,3
1362,13656,3
1363,8568,3
1364,373,1
1365,433,1
1366,618,1
1367,50,0
1368,14480,3
1369,452,1
1370,438,1
1371,970,1
1372,1916,2
1373,3863,2
1374,51748,4
1375,2395,2
1376,13057,3
1377,74,0
1378,14480,3
1379,607,1
1380,51748,4
1381,6499,3
1382,5818,3
1383,1134,2
1384,1641,2
1385,607,1
1386,859,1
1387,141,0
1388,45291,4
1389,35821,4
1390,520,1
1391,75,0
1392,5203,3
1393,3173,2
1394,685,1
1395,747,1
1396,52,0
1397,1631,2
1398,114,0
1399,16086,4
1400,58,0
1401,4724,2
1402,159,0
1403,14714,3
1404,172,0
1405,5397,3
1406,104,0
1407,350,1
1408,350,1
1409,145,0
1410,4436,2
1411,30327,4
1412,3388,2
1413,33,0
1414,10790,3
1415,444,1
1416,206753,4
1417,50666,4
1418,163,0
1419,9030,3
1420,121,0
1421,11469,3
1422,775,1
1423,1199,2
1424,389,1
1425,452,1
1426,2357,2
1427,8935,3
1428,377,1
1429,65,0
1430,1012,2
1431,45291,4
1432,1012,2
1433,14480,3
1434,12481,3
1435,371,1
1436,11718,3
1437,439,1
1438,11469,3
1439,561,1
1440,11469,3
1441,33,0
1442,37,0
1443,6030,3
1444,464,1
1445,45291,4
1446,607,1
1447,32,0
1448,8695,3
1449,3863,2
1450,809,1
1451,707,1
1452,474,1
1453,439,1
1454,1082,2
1455,13321,3
1456,637,1
1457,29053,4
1458,39,0
1459,17351,4
1460,14600,3
1461,14480,3
1462,621,1
1463,2712,2
1464,69062,4
1465,453,1
1466,1160,2
1467,4553,2
1468,433,1
1469,152,0
1470,14480,3
1471,15843,4
1472,249,0
1473,849,1
1474,1612,2
1475,2395,2
1476,8935,3
1477,158,0
1478,811,1
1479,379,1
1480,1733,2
1481,14480,3
1482,685,1
1483,14480,3
1484,2952,2
1485,1378,2
1486,14553,3
1487,61,0
1488,168,0
1489,92184,4
1490,252,0
1491,3863,2
1492,1267,2
1493,236,0
1494,439,1
1495,167,0
1496,2003,2
1497,182,0
1498,230815,4
1499,3311,2
1500,359,1
1501,2368,2
1502,445,1
1503,8568,3
1504,7714,3
1505,4294,2
1506,33,0
1507,691,1
1508,180,0
1509,14480,3
1510,29109,4
1511,163,0
1512,1399,2
1513,1054,2
1514,17229,4
1515,62,0
1516,4437,2
1517,4728,2
1518,70,0
1519,33,0
1520,1242,2
1521,1054,2
1522,8567,3
1523,10672,3
1524,453,1
1525,16086,4
1526,45291,4
1527,3239,2
1528,5824,3
1529,126,0
1530,651,1
1531,618,1
1532,8116,3
1533,775,1
1534,1198,2
1535,7889,3
1536,4360,2
1537,6503,3
1538,3051,2
1539,183,0
1540,14480,3
1541,1054,2
1542,69062,4
1543,14553,3
1544,1704,2
1545,47178,4
1546,2003,2
1547,2828,2
1548,3863,2
1549,919,1
1550,121,0
1551,11718,3
1552,859,1
1553,99,0
1554,379,1
1555,30,0
1556,2340,2
1557,9821,3
1558,566,1
1559,97499,4
1560,607,1
1561,2294,2
1562,33,0
1563,17497,4
1564,121,0
1565,524,1
1566,3863,2
1567,10544,3
1568,19,0
1569,3051,2
1570,322,1
1571,11465,3
1572,70,0
1573,11687,3
1574,2183,2
1575,6269,3
1576,15764,4
1577,341,1
1578,146,0
1579,961,1
1580,453,1
1581,2132,2
1582,4553,2
1583,5203,3
1584,254,0
1585,11469,3
1586,492,1
1587,1054,2
1588,11718,3
1589,353,1
1590,11495,3
1591,98265,4
1592,104,0
1593,36745,4
1594,48,0
1595,607,1
1596,3286,2
1597,180,0
1598,15959,4
1599,2651,2
1600,51,0
1601,95909,4
1602,385,1
1603,34117,4
1604,8695,3
1605,3863,2
1606,149,0
1607,166,0
1608,69062,4
1609,7080,3
1610,1019,2
1611,171,0
1612,880,1
1613,6425,3
1614,35821,4
1615,4713,2
1616,155,0
1617,50,0
1618,1033,2
1619,16086,4
1620,59,0
1621,4514,2
1622,719,1
1623,52727,4
1624,52727,4
1625,29694,4
1626,13656,3
1627,14480,3
1628,3688,2
1629,11465,3
1630,614,1
1631,57,0
1632,6262,3
1633,4883,2
1634,10257,3
1635,6030,3
1636,13321,3
1637,14480,3
1638,747,1
1639,2132,2
1640,37706,4
1641,1384,2
1642,14480,3
1643,508957,4
1644,13321,3
1645,14480,3
1646,403,1
1647,439,1
1648,6029,3
1649,4553,2
1650,1054,2
1651,15251,4
1652,772,1
1653,747,1
1654,530,1
1655,31418,4
1656,28780,4
1657,439,1
1658,595,1
1659,33,0
1660,146,0
1661,622,1
1662,1112,2
1663,2201,2
1664,486,1
1665,13321,3
1666,4524,2
1667,128,0
1668,485,1
1669,38168,4
1670,48979,4
1671,376,1
1672,69062,4
1673,10770,3
1674,155,0
1675,7080,3
1676,1659,2
1677,3173,2
1678,58,0
1679,6685,3
1680,425,1
1681,14480,3
1682,7300,3
1683,13384,3
1684,124,0
1685,15196,4
1686,70,0
1687,385,1
1688,74,0
1689,439,1
1690,2368,2
1691,13057,3
1692,50291,4
1693,17351,4
1694,234304,4
1695,607,1
1696,33,0
1697,48979,4
1698,930,1
1699,4553,2
1700,34,0
1701,11718,3
1702,2513,2
1703,15078,4
1704,4728,2
1705,439,1
1706,2709,2
1707,276,0
1708,357739,4
1709,20868,4
1710,3863,2
1711,6454,3
1712,11768,3
1713,1112,2
1714,56270,4
1715,166,0
1716,8428,3
1717,175,0
1718,698,1
1719,14480,3
1720,19077,4
1721,494,1
1722,5603,3
1723,1054,2
1724,10611,3
1725,6882,3
1726,834,1
1727,624,1
1728,11465,3
1729,775,1
1730,618,1
1731,118,0
1732,614,1
1733,866,1
1734,433,1
1735,33,0
1736,607,1
1737,2306,2
1738,107,0
1739,9122,3
1740,97499,4
1741,206753,4
1742,17497,4
1743,1906,2
1744,14142,3
1745,14390,3
1746,14480,3
1747,811,1
1748,5397,3
1749,403,1
1750,9821,3
1751,7080,3
1752,5603,3
1753,44,0
1754,2804,2
1755,16086,4
1756,721,1
1757,439,1
1758,322,1
1759,2868,2
1760,29,0
1761,1919,2
1762,590,1
1763,3651,2
1764,145903,4
1765,383,1
1766,1054,2
1767,3863,2
1768,11718,3
1769,70,0
1770,439,1
1771,49,0
1772,385,1
1773,464,1
1774,1127,2
1775,442,1
1776,243,0
1777,8567,3
1778,2480,2
1779,2952,2
1780,2003,2
1781,775,1
1782,439,1
1783,1054,2
1784,6685,3
1785,12481,3
1786,163,0
1787,607,1
1788,940,1
1789,36268,4
1790,22226,4
1791,3863,2
1792,7599,3
1793,252,0
1794,226,0
1795,7599,3
1796,69062,4
1797,607,1
1798,433,1
1799,163,0
1800,778,1
1801,6520,3
1802,778,1
1803,4640,2
1804,1812,2
1805,915,1
1806,385,1
1807,14480,3
1808,809,1
1809,9742,3
1810,33,0
1811,121,0
1812,4444,2
1813,2513,2
1814,30327,4
1815,1779,2
1816,464,1
1817,272,0
1818,6454,3
1819,69062,4
1820,69062,4
1821,14480,3
1822,618,1
1823,121,0
1824,15763,4
1825,14480,3
1826,33,0
1827,51789,4
1828,22971,4
1829,36745,4
1830,462,1
1831,52727,4
1832,106,0
1833,433,1
1834,2513,2
1835,52,0
1836,59,0
1837,1988,2
1838,48,0
1839,48,0
1840,169,0
1841,5146,3
1842,1054,2
1843,29053,4
1844,34,0
1845,1603,2
1846,15958,4
1847,34117,4
1848,13922,3
1849,383,1
1850,121,0
1851,389,1
1852,11718,3
1853,3895,2
1854,45645,4
1855,33,0
1856,2948,2
1857,2003,2
1858,10672,3
1859,1295,2
1860,1384,2
1861,652,1
1862,3078,2
1863,4508,2
1864,3634,2
1865,3651,2
1866,10672,3
1867,105304,4
1868,119647,4
1869,6030,3
1870,11469,3
1871,179,0
1872,80,0
1873,14480,3
1874,276,0
1875,1733,2
1876,5388,3
1877,1795,2
1878,59,0
1879,614,1
1880,11469,3
1881,433,1
1882,15764,4
1883,453,1
1884,31,0
1885,1790,2
1886,51,0
1887,1096,2
1888,439,1
1889,174,0
1890,453,1
1891,16086,4
1892,2641,2
1893,14480,3
1894,2368,2
1895,641,1
1896,14480,3
1897,6076,3
1898,867,1
1899,5855,3
1900,7080,3
1901,17229,4
1902,1134,2
1903,88677,4
1904,33,0
1905,8031,3
1906,607,1
1907,31575,4
1908,607,1
1909,164,0
1910,14480,3
1911,329354,4
1912,20656,4
1913,645,1
1914,59,0
1915,78503,4
1916,2952,2
1917,775,1
1918,1377,2
1919,33374,4
1920,10836,3
1921,1069,2
1922,453,1
1923,296235,4
1924,1661,2
1925,8116,3
1926,4147,2
1927,11718,3
1928,614,1
1929,22898,4
1930,6480,3
1931,17497,4
1932,13922,3
1933,6965,3
1934,1054,2
1935,12486,3
1936,1509,2
1937,485,1
1938,1054,2
1939,52727,4
1940,32846,4
1941,121,0
1942,179,0
1943,253,0
1944,15196,4
1945,54,0
1946,41,0
1947,1054,2
1948,29694,4
1949,12114,3
1950,397,1
1951,41,0
1952,445,1
1953,3651,2
1954,34,0
1955,31418,4
1956,453,1
1957,12486,3
1958,27085,4
1959,5203,3
1960,223,0
1961,8505,3
1962,6503,3
1963,1054,2
1964,14600,3
1965,1012,2
1966,298,0
1967,18488,4
1968,1765,2
1969,14480,3
1970,3626,2
1971,9742,3
1972,121,0
